time,latitude,longitude,depth,mag
1975-12-11T10:09:51.800Z,32.841,75.989,59,5.1
1975-12-10T05:08:43.600Z,33.062,76.217,54,4.7
1975-12-10T05:03:42.300Z,32.825,76.19,33,5
1975-12-10T03:26:08.400Z,33.017,76.095,21,5.4
1975-12-05T07:37:11.400Z,33.029,76.022,33,5.4
1975-10-30T14:36:42.500Z,32.901,75.991,34,5.2
1975-10-30T14:20:57.200Z,32.703,75.383,112,4.9
1975-09-19T17:53:13.900Z,32.221,78.937,33,4.3
1975-09-16T04:20:25.100Z,32.379,76.454,44,4.6
1975-07-29T02:40:58.200Z,32.555,78.457,51,5.5
1975-07-21T07:26:37.100Z,32.122,78.533,33,4.7
1975-07-19T07:26:30.500Z,32.335,78.623,33,4.4
1975-07-02T11:06:29.500Z,32.536,78.592,33,4.9
1975-06-10T09:44:17.500Z,32.554,78.626,28,4.9
1975-05-08T11:56:07.000Z,32.383,78.508,33,4.8
1975-03-10T03:07:03.400Z,32.21,78.781,49,4.9
1975-02-11T06:41:33.200Z,32.153,78.477,33,4.7
1975-02-02T19:14:09.700Z,32.595,78.529,21,5.1
1975-01-31T14:04:11.000Z,32.417,78.479,45,4.6
1975-01-27T15:58:06.100Z,32.717,78.476,33,4.5
1975-01-27T13:41:38.800Z,32.316,78.496,33,4.8
1975-01-27T08:10:18.700Z,32.464,78.728,33,5
1975-01-20T13:24:12.700Z,32.126,78.546,33,4.6
1975-01-20T11:06:53.900Z,32.501,78.566,48,4.8
1975-01-19T17:41:10.900Z,32.602,78.725,33,4.1
1975-01-19T13:04:36.600Z,32.131,78.642,33,5
1975-01-19T10:39:38.600Z,32.203,78.627,33,3.8
1975-01-19T09:12:55.600Z,32.414,78.531,33,4.7
1975-01-19T08:18:23.800Z,32.112,78.508,33,4.8
1975-01-19T08:02:02.500Z,32.455,78.43,33,6.8
1975-01-19T08:00:24.300Z,32.437,78.599,60,5.3
1974-11-16T16:18:36.600Z,32.849,76.137,63,4.8
1974-05-20T17:39:17.900Z,34.584,74.278,33,4.9
1973-12-16T09:16:14.100Z,32.284,76.028,33,4.9
1973-10-30T15:50:43.100Z,33.336,76.341,35,3.9
1973-10-25T02:52:03.300Z,32.858,75.546,105,4.1
1973-10-24T19:57:17.900Z,33.062,75.731,52,5
1973-10-24T05:23:50.900Z,33.113,75.891,33,5.4
1973-07-18T22:55:10.500Z,33.2,75.568,33,4.6
1973-07-13T22:54:26.100Z,33.143,75.585,33,4.3
1973-07-13T22:03:38.700Z,33.095,75.496,52,4.8
1973-04-10T00:10:02.100Z,33.077,75.673,62,4.3
1973-01-16T21:31:26.000Z,33.209,75.715,42,5.1
1973-01-14T11:39:25.100Z,32.948,75.34,90,4
1972-09-06T02:51:29.020Z,32.398,78.414,10,5.28
1970-03-05T18:34:21.100Z,32.376,76.608,15,5.11
